ID_Produit,Nom_Produit,Catégorie,Sous-catégorie,Prix,Date_Lancement,Date_Fin_Production,Nombre_Revendeurs,Nombre_Pays_Distribution,Nombre_Publicités,Gamme,Certification
P068,Galaxy A52,Électronique,Smartphone,499,2020-12-27,,381,12,29,Économique,FCC
P069,Portable SSD T7,Électronique,Stockage,189,2020-05-06,2022-11-26,211,38,14,Premium,None
P070,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-11-05,,262,46,91,Premium,RoHS
P071,Galaxy S21,Électronique,Smartphone,999,2020-05-14,2022-01-24,374,40,22,Premium,RoHS
P072,Galaxy Note 20,Électronique,Smartphone,1099,2020-10-31,,254,40,25,Économique,CE
P073,QLED 8K TV,Électronique,Télévision,2999,2020-08-26,2022-07-09,397,35,45,Économique,FCC
P074,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-09-29,,286,4,51,Premium,None
P075,Galaxy Tab S7,Électronique,Tablette,649,2020-02-07,2022-10-04,495,15,63,Premium,CE
P076,Galaxy Watch 3,Électronique,Montre,399,2020-10-19,,84,39,74,Économique,CE
P077,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-10-04,2022-01-12,238,2,82,Économique,None
P078,Galaxy A52,Électronique,Smartphone,499,2020-06-20,,407,47,65,Premium,CE
P079,Portable SSD T7,Électronique,Stockage,189,2020-01-03,2022-08-12,496,43,84,Économique,None
P080,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-05-22,,218,17,10,Premium,None
P081,Galaxy S21,Électronique,Smartphone,999,2020-01-06,2022-05-16,446,19,54,Économique,FCC
P082,Galaxy Note 20,Électronique,Smartphone,1099,2020-01-31,,298,42,39,Premium,None
P083,QLED 8K TV,Électronique,Télévision,2999,2020-08-13,2022-03-05,448,46,92,Économique,FCC
P084,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-04-29,,380,27,67,Premium,None
P085,Galaxy Tab S7,Électronique,Tablette,649,2020-01-27,2022-06-12,212,15,42,Économique,None
P086,Galaxy Watch 3,Électronique,Montre,399,2020-11-16,,371,37,18,Économique,CE
P087,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-05-02,2022-06-08,142,28,63,Économique,RoHS
P088,Galaxy A52,Électronique,Smartphone,499,2020-10-30,,168,7,11,Économique,RoHS
P089,Portable SSD T7,Électronique,Stockage,189,2020-03-15,2022-01-16,76,44,32,Premium,CE
P090,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-06-29,,283,5,64,Premium,RoHS
P091,Galaxy S21,Électronique,Smartphone,999,2020-03-10,2022-03-15,237,49,67,Économique,None
P092,Galaxy Note 20,Électronique,Smartphone,1099,2020-08-23,,215,17,20,Économique,CE
P093,QLED 8K TV,Électronique,Télévision,2999,2020-08-18,2022-10-27,55,48,77,Premium,RoHS
P094,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-04-10,,262,25,32,Premium,RoHS
P095,Galaxy Tab S7,Électronique,Tablette,649,2020-11-21,2022-01-03,295,25,63,Premium,CE
P096,Galaxy Watch 3,Électronique,Montre,399,2020-12-29,,296,35,24,Premium,CE
P097,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-02-21,2022-07-10,174,23,93,Économique,CE
P098,Galaxy A52,Électronique,Smartphone,499,2020-07-27,,311,24,74,Premium,CE
P099,Portable SSD T7,Électronique,Stockage,189,2020-12-02,2022-11-04,402,20,22,Premium,FCC
P100,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-07-12,,152,16,43,Premium,CE
P101,Galaxy S21,Électronique,Smartphone,999,2020-02-02,2022-11-29,108,26,59,Économique,RoHS
P102,Galaxy Note 20,Électronique,Smartphone,1099,2020-08-09,,52,13,26,Premium,RoHS
P103,QLED 8K TV,Électronique,Télévision,2999,2020-05-14,2022-07-15,229,29,35,Premium,None
P104,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-04-17,,228,45,46,Économique,None
P105,Galaxy Tab S7,Électronique,Tablette,649,2020-08-26,2022-08-28,112,47,61,Premium,FCC
P106,Galaxy Watch 3,Électronique,Montre,399,2020-01-16,,446,49,44,Économique,None
P107,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-12-04,2022-01-08,237,28,53,Économique,FCC
P108,Galaxy A52,Électronique,Smartphone,499,2020-12-24,,447,12,64,Économique,RoHS
P109,Portable SSD T7,Électronique,Stockage,189,2020-09-07,2022-08-11,270,47,94,Premium,CE
P110,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-04-17,,123,19,88,Premium,None
P111,Galaxy S21,Électronique,Smartphone,999,2020-05-20,2022-06-16,473,9,85,Premium,CE
P112,Galaxy Note 20,Électronique,Smartphone,1099,2020-06-09,,316,25,34,Économique,RoHS
P113,QLED 8K TV,Électronique,Télévision,2999,2020-12-19,2022-07-09,185,2,56,Premium,FCC
P114,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-07-15,,196,38,94,Premium,RoHS
P115,Galaxy Tab S7,Électronique,Tablette,649,2020-10-30,2022-07-15,358,46,33,Premium,None
P116,Galaxy Watch 3,Électronique,Montre,399,2020-02-21,,186,9,55,Premium,RoHS
P117,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-09-09,2022-08-18,52,21,36,Économique,FCC
P118,Galaxy A52,Électronique,Smartphone,499,2020-01-30,,92,33,20,Premium,None
P119,Portable SSD T7,Électronique,Stockage,189,2020-09-28,2022-02-12,294,30,56,Économique,None
P120,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-10-31,,253,2,59,Économique,FCC
P121,Galaxy S21,Électronique,Smartphone,999,2020-03-01,2022-06-01,327,31,20,Premium,FCC
P122,Galaxy Note 20,Électronique,Smartphone,1099,2020-07-21,,231,46,62,Économique,FCC
P123,QLED 8K TV,Électronique,Télévision,2999,2020-08-30,2022-03-04,270,16,68,Premium,CE
P124,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-07-09,,458,5,59,Économique,RoHS
P125,Galaxy Tab S7,Électronique,Tablette,649,2020-09-18,2022-05-20,256,10,10,Économique,None
P126,Galaxy Watch 3,Électronique,Montre,399,2020-06-29,,249,45,63,Premium,FCC
P127,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-07-22,2022-02-06,91,49,12,Économique,None
P128,Galaxy A52,Électronique,Smartphone,499,2020-12-26,,311,17,25,Premium,RoHS
P129,Portable SSD T7,Électronique,Stockage,189,2020-01-02,2022-12-30,58,21,58,Économique,None
P130,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-02-01,,172,6,31,Premium,CE
P131,Galaxy S21,Électronique,Smartphone,999,2020-11-27,2022-03-22,479,50,55,Premium,None
P132,Galaxy Note 20,Électronique,Smartphone,1099,2020-06-30,,253,43,82,Économique,CE
P133,QLED 8K TV,Électronique,Télévision,2999,2020-06-30,2022-08-21,185,17,50,Économique,RoHS
P134,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-10-01,,437,25,40,Premium,RoHS
P135,Galaxy Tab S7,Électronique,Tablette,649,2020-07-24,2022-09-11,208,49,54,Premium,CE
P136,Galaxy Watch 3,Électronique,Montre,399,2020-02-11,,311,32,40,Économique,FCC
P137,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-02-24,2022-10-25,217,27,67,Économique,FCC
P138,Galaxy A52,Électronique,Smartphone,499,2020-02-02,,448,47,90,Économique,RoHS
P139,Portable SSD T7,Électronique,Stockage,189,2020-05-26,2022-07-21,168,43,14,Premium,CE
P140,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-12-23,,428,39,19,Premium,CE
P141,Galaxy S21,Électronique,Smartphone,999,2020-02-24,2022-06-08,349,17,19,Économique,RoHS
P142,Galaxy Note 20,Électronique,Smartphone,1099,2020-10-15,,493,47,90,Économique,None
P143,QLED 8K TV,Électronique,Télévision,2999,2020-01-25,2022-01-14,199,13,84,Économique,None
P144,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-10-31,,315,40,65,Économique,FCC
P145,Galaxy Tab S7,Électronique,Tablette,649,2020-09-02,2022-10-21,402,18,61,Économique,None
P146,Galaxy Watch 3,Électronique,Montre,399,2020-07-21,,142,45,21,Économique,CE
P147,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-11-30,2022-08-25,63,30,20,Premium,None
P148,Galaxy A52,Électronique,Smartphone,499,2020-08-19,,435,43,30,Premium,None
P149,Portable SSD T7,Électronique,Stockage,189,2020-05-20,2022-12-30,282,21,62,Économique,CE
P150,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-11-24,,301,45,44,Premium,None
P151,Galaxy S21,Électronique,Smartphone,999,2020-09-04,2022-08-05,322,5,59,Économique,RoHS
P152,Galaxy Note 20,Électronique,Smartphone,1099,2020-11-22,,51,27,30,Premium,RoHS
P153,QLED 8K TV,Électronique,Télévision,2999,2020-10-02,2022-03-01,476,24,18,Premium,RoHS
P154,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-08-29,,143,33,50,Économique,None
P155,Galaxy Tab S7,Électronique,Tablette,649,2020-09-13,2022-08-12,58,10,53,Économique,RoHS
P156,Galaxy Watch 3,Électronique,Montre,399,2020-11-06,,221,6,20,Économique,RoHS
P157,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-05-10,2022-03-12,194,43,67,Premium,RoHS
P158,Galaxy A52,Électronique,Smartphone,499,2020-01-25,,116,17,27,Premium,None
P159,Portable SSD T7,Électronique,Stockage,189,2020-08-10,2022-09-03,207,24,79,Économique,FCC
P160,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-10-22,,273,2,31,Premium,None
P161,Galaxy S21,Électronique,Smartphone,999,2020-02-22,2022-03-22,404,17,38,Premium,FCC
P162,Galaxy Note 20,Électronique,Smartphone,1099,2020-01-27,,309,37,68,Économique,FCC
P163,QLED 8K TV,Électronique,Télévision,2999,2020-07-19,2022-10-05,159,41,100,Premium,FCC
P164,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-08-20,,244,48,72,Premium,CE
P165,Galaxy Tab S7,Électronique,Tablette,649,2020-03-31,2022-10-01,171,20,69,Premium,RoHS
P166,Galaxy Watch 3,Électronique,Montre,399,2020-07-21,,478,49,54,Premium,None
P167,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-05-31,2022-11-30,223,42,23,Premium,CE
P168,Galaxy A52,Électronique,Smartphone,499,2020-09-10,,239,17,36,Économique,RoHS
P169,Portable SSD T7,Électronique,Stockage,189,2020-08-10,2022-11-10,334,43,93,Économique,None
P170,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-04-07,,340,36,30,Premium,RoHS
P171,Galaxy S21,Électronique,Smartphone,999,2020-06-13,2022-05-25,484,37,43,Économique,FCC
P172,Galaxy Note 20,Électronique,Smartphone,1099,2020-10-08,,363,9,11,Économique,RoHS
P173,QLED 8K TV,Électronique,Télévision,2999,2020-03-09,2022-12-21,269,33,22,Économique,RoHS
P174,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-10-12,,159,4,53,Premium,CE
P175,Galaxy Tab S7,Électronique,Tablette,649,2020-03-24,2022-01-09,364,27,22,Économique,RoHS
P176,Galaxy Watch 3,Électronique,Montre,399,2020-02-28,,241,26,29,Premium,FCC
P177,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-12-01,2022-01-02,107,31,60,Premium,None
P178,Galaxy A52,Électronique,Smartphone,499,2020-02-18,,470,49,44,Premium,None
P179,Portable SSD T7,Électronique,Stockage,189,2020-03-15,2022-09-02,493,6,86,Premium,CE
P180,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-06-24,,449,21,55,Premium,FCC
P181,Galaxy S21,Électronique,Smartphone,999,2020-09-25,2022-07-17,121,36,94,Économique,CE
P182,Galaxy Note 20,Électronique,Smartphone,1099,2020-04-24,,88,41,54,Premium,RoHS
P183,QLED 8K TV,Électronique,Télévision,2999,2020-09-29,2022-09-29,377,13,20,Premium,RoHS
P184,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-07-26,,101,24,29,Premium,FCC
P185,Galaxy Tab S7,Électronique,Tablette,649,2020-06-24,2022-02-20,311,37,53,Premium,RoHS
P186,Galaxy Watch 3,Électronique,Montre,399,2020-01-12,,143,6,97,Premium,FCC
P187,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-10-10,2022-06-10,433,20,96,Économique,None
P188,Galaxy A52,Électronique,Smartphone,499,2020-09-29,,361,32,86,Économique,RoHS
P189,Portable SSD T7,Électronique,Stockage,189,2020-12-22,2022-07-30,320,19,45,Économique,FCC
P190,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-11-14,,300,10,53,Premium,CE
P191,Galaxy S21,Électronique,Smartphone,999,2020-01-12,2022-04-10,426,7,68,Premium,FCC
P192,Galaxy Note 20,Électronique,Smartphone,1099,2020-09-23,,149,34,26,Économique,None
P193,QLED 8K TV,Électronique,Télévision,2999,2020-03-12,2022-08-22,282,4,25,Économique,FCC
P194,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-03-15,,298,40,20,Premium,CE
P195,Galaxy Tab S7,Électronique,Tablette,649,2020-10-22,2022-01-10,403,49,50,Économique,FCC
P196,Galaxy Watch 3,Électronique,Montre,399,2020-06-04,,463,30,93,Premium,None
P197,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-10-22,2022-12-29,439,11,29,Premium,CE
P198,Galaxy A52,Électronique,Smartphone,499,2020-10-16,,75,29,49,Économique,RoHS
P199,Portable SSD T7,Électronique,Stockage,189,2020-02-21,2022-01-23,456,16,66,Économique,CE
P200,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-03-26,,343,3,18,Économique,RoHS
P201,Galaxy S21,Électronique,Smartphone,999,2020-02-03,2022-05-21,221,3,95,Économique,None
P202,Galaxy Note 20,Électronique,Smartphone,1099,2020-01-20,,155,11,17,Économique,FCC
P203,QLED 8K TV,Électronique,Télévision,2999,2020-12-29,2022-03-26,302,36,61,Premium,None
P204,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-10-16,,243,34,10,Premium,None
P205,Galaxy Tab S7,Électronique,Tablette,649,2020-04-06,2022-07-22,383,27,41,Économique,CE
P206,Galaxy Watch 3,Électronique,Montre,399,2020-06-06,,293,49,50,Premium,None
P207,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-08-29,2022-09-25,395,46,51,Économique,None
P208,Galaxy A52,Électronique,Smartphone,499,2020-09-30,,261,32,81,Premium,None
P209,Portable SSD T7,Électronique,Stockage,189,2020-09-07,2022-05-18,113,11,90,Premium,FCC
P210,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-03-22,,291,12,95,Économique,CE
P211,Galaxy S21,Électronique,Smartphone,999,2020-11-05,2022-05-23,157,26,13,Économique,None
P212,Galaxy Note 20,Électronique,Smartphone,1099,2020-01-24,,284,15,99,Économique,CE
P213,QLED 8K TV,Électronique,Télévision,2999,2020-01-14,2022-06-14,295,39,83,Premium,FCC
P214,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-05-17,,60,32,42,Économique,FCC
P215,Galaxy Tab S7,Électronique,Tablette,649,2020-09-01,2022-09-29,100,4,49,Premium,FCC
P216,Galaxy Watch 3,Électronique,Montre,399,2020-05-24,,106,5,35,Économique,None
P217,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-01-31,2022-03-16,474,28,80,Premium,None
P218,Galaxy A52,Électronique,Smartphone,499,2020-06-30,,388,12,50,Économique,None
P219,Portable SSD T7,Électronique,Stockage,189,2020-01-05,2022-11-21,226,5,80,Économique,RoHS
P220,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-10-02,,220,47,16,Premium,CE
P221,Galaxy S21,Électronique,Smartphone,999,2020-04-22,2022-09-26,154,35,64,Premium,RoHS
P222,Galaxy Note 20,Électronique,Smartphone,1099,2020-02-27,,114,9,30,Premium,CE
P223,QLED 8K TV,Électronique,Télévision,2999,2020-10-28,2022-06-06,206,25,71,Premium,FCC
P224,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-02-15,,140,46,53,Premium,RoHS
P225,Galaxy Tab S7,Électronique,Tablette,649,2020-09-15,2022-10-20,456,30,51,Économique,CE
P226,Galaxy Watch 3,Électronique,Montre,399,2020-11-18,,275,50,93,Économique,FCC
P227,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-04-26,2022-01-07,475,45,32,Économique,CE
P228,Galaxy A52,Électronique,Smartphone,499,2020-01-04,,209,6,44,Économique,None
P229,Portable SSD T7,Électronique,Stockage,189,2020-06-20,2022-03-19,208,46,38,Économique,RoHS
P230,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-06-10,,77,10,44,Premium,CE
P231,Galaxy S21,Électronique,Smartphone,999,2020-03-01,2022-08-01,354,22,15,Premium,CE
P232,Galaxy Note 20,Électronique,Smartphone,1099,2020-10-13,,457,1,18,Économique,FCC
P233,QLED 8K TV,Électronique,Télévision,2999,2020-05-04,2022-03-12,258,14,94,Économique,None
P234,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-10-18,,373,10,52,Premium,None
P235,Galaxy Tab S7,Électronique,Tablette,649,2020-07-06,2022-05-15,386,43,81,Premium,FCC
P236,Galaxy Watch 3,Électronique,Montre,399,2020-06-18,,80,38,94,Premium,CE
P237,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-05-16,2022-09-14,306,14,76,Premium,FCC
P238,Galaxy A52,Électronique,Smartphone,499,2020-08-23,,114,5,58,Premium,CE
P239,Portable SSD T7,Électronique,Stockage,189,2020-02-17,2022-04-24,159,50,81,Économique,CE
P240,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-10-29,,340,42,66,Premium,FCC
P241,Galaxy S21,Électronique,Smartphone,999,2020-03-27,2022-03-16,188,42,41,Économique,None
P242,Galaxy Note 20,Électronique,Smartphone,1099,2020-07-30,,379,49,39,Premium,FCC
P243,QLED 8K TV,Électronique,Télévision,2999,2020-01-06,2022-07-08,483,12,27,Premium,None
P244,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-07-06,,96,12,67,Premium,CE
P245,Galaxy Tab S7,Électronique,Tablette,649,2020-10-26,2022-02-07,396,40,27,Économique,RoHS
P246,Galaxy Watch 3,Électronique,Montre,399,2020-11-18,,479,28,30,Premium,None
P247,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-08-04,2022-04-22,169,41,96,Premium,None
P248,Galaxy A52,Électronique,Smartphone,499,2020-08-10,,118,38,70,Premium,None
P249,Portable SSD T7,Électronique,Stockage,189,2020-03-12,2022-05-21,182,16,21,Premium,FCC
P250,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-08-17,,305,38,44,Premium,None
P251,Galaxy S21,Électronique,Smartphone,999,2020-07-25,2022-10-19,393,8,64,Économique,FCC
P252,Galaxy Note 20,Électronique,Smartphone,1099,2020-05-08,,189,2,33,Premium,None
P253,QLED 8K TV,Électronique,Télévision,2999,2020-08-01,2022-04-18,391,23,31,Premium,RoHS
P254,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-10-15,,306,40,87,Économique,RoHS
P255,Galaxy Tab S7,Électronique,Tablette,649,2020-06-19,2022-11-08,277,31,30,Premium,CE
P256,Galaxy Watch 3,Électronique,Montre,399,2020-06-14,,351,25,18,Premium,FCC
P257,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-04-28,2022-02-18,408,22,11,Premium,FCC
P258,Galaxy A52,Électronique,Smartphone,499,2020-07-15,,219,12,82,Premium,RoHS
P259,Portable SSD T7,Électronique,Stockage,189,2020-09-28,2022-03-27,397,41,39,Économique,CE
P260,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-07-12,,57,14,31,Économique,FCC
P261,Galaxy S21,Électronique,Smartphone,999,2020-11-14,2022-04-23,372,36,27,Premium,None
P262,Galaxy Note 20,Électronique,Smartphone,1099,2020-07-18,,390,41,10,Économique,CE
P263,QLED 8K TV,Électronique,Télévision,2999,2020-08-28,2022-11-11,182,39,72,Économique,CE
P264,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-04-16,,77,31,59,Économique,CE
P265,Galaxy Tab S7,Électronique,Tablette,649,2020-09-21,2022-09-09,282,39,97,Premium,FCC
P266,Galaxy Watch 3,Électronique,Montre,399,2020-02-24,,500,34,89,Économique,FCC
P267,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-06-29,2022-03-05,318,4,57,Premium,None
P268,Galaxy A52,Électronique,Smartphone,499,2020-04-20,,165,25,47,Économique,CE
P269,Portable SSD T7,Électronique,Stockage,189,2020-06-21,2022-12-30,370,34,90,Économique,CE
P270,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-07-07,,397,23,28,Premium,None
