ID_Vente,ID_Produit,Quantité_Vendue,Date_Vente,ID_Client,Montant_Total,Délai_Livraison_Jours,Score_Satisfaction,Méthode_Expédition,Canal_Achat,Pays_Vente
V0027,P291,1,2021-11-28,C242,999,25,3.3533403818453222,Standard,En ligne,France
V0028,P334,1,2021-05-06,C553,199,18,1.8674367436697579,Express,Revendeur,Corée
V0029,P163,3,2021-06-23,C792,8997,25,2.046462925714674,Standard,En ligne,Chine
V0030,P1162,1,2021-12-14,C171,1099,4,3.071148947596352,Standard,En ligne,Corée
V0031,P1504,2,2021-05-15,C835,398,8,1.2152010386137544,Express,Revendeur,Chine
V0032,P116,5,2021-08-07,C922,1995,16,4.284410972849171,Standard,Revendeur,Chine
V0033,P1280,1,2021-06-13,C295,1999,30,3.352239345385603,Express,Magasin,USA
V0034,P1607,5,2021-02-27,C856,10995,2,3.2202364829120946,Standard,Revendeur,Allemagne
V0035,P860,3,2021-01-04,C685,5997,25,3.18793905253793,Standard,Magasin,France
V0036,P1385,1,2021-03-11,C434,649,1,3.481219115595627,Express,Magasin,Chine
V0037,P1845,4,2021-02-04,C866,2596,21,2.0369498145819613,Express,Magasin,Chine
V0038,P928,2,2021-01-25,C548,998,6,3.0354809115198917,Standard,En ligne,Allemagne
V0039,P392,3,2021-10-18,C405,3297,27,2.495362219078899,Standard,Revendeur,Chine
V0040,P1302,5,2021-06-15,C790,5495,3,1.6421946812312127,Standard,Magasin,USA
V0041,P524,2,2021-04-28,C103,398,18,2.0764149311499724,Express,Magasin,France
V0042,P1334,4,2021-09-24,C934,796,5,3.206841093181797,Standard,Magasin,France
V0043,P633,3,2021-12-06,C644,8997,10,3.5162090464984197,Standard,Magasin,Chine
V0044,P1295,3,2021-03-22,C891,1947,9,4.290880990686835,Express,Revendeur,Corée
V0045,P1610,4,2021-05-08,C609,7996,26,3.597191525550733,Standard,Revendeur,France
V0046,P626,3,2021-06-18,C992,1197,11,2.7734432078395903,Express,Revendeur,Chine
V0047,P460,1,2021-12-02,C146,1999,13,3.477171335094866,Standard,Revendeur,Chine
V0048,P236,1,2021-11-08,C247,399,26,2.064935179694933,Standard,Magasin,France
V0049,P243,1,2021-02-02,C978,2999,7,2.2527714907891103,Standard,En ligne,Allemagne
V0050,P808,2,2021-11-01,C677,998,16,2.038297712026458,Express,Revendeur,France
V0051,P1040,2,2021-02-20,C527,3998,25,3.3186374612466523,Standard,En ligne,Corée
V0052,P245,5,2021-02-23,C424,3245,4,3.924855896256736,Express,Revendeur,Corée
V0053,P623,1,2021-08-07,C813,2999,10,1.5646672480913986,Standard,Magasin,Corée
V0054,P952,5,2021-01-29,C399,5495,10,1.3936449862717688,Express,Revendeur,France
V0055,P352,4,2021-10-27,C542,4396,19,3.9454576543585302,Standard,En ligne,Chine
V0056,P1437,4,2021-05-26,C852,8796,25,3.7381848081338216,Express,Magasin,Allemagne
V0057,P1810,3,2021-07-01,C812,5997,20,3.3919750551980585,Standard,Magasin,Chine
V0058,P1687,2,2021-06-28,C980,4398,5,2.9715397500582417,Standard,Magasin,Allemagne
V0059,P1454,4,2021-09-24,C164,796,22,1.1763768344551213,Express,Magasin,France
V0060,P377,2,2021-11-03,C856,4398,4,2.5258611779808033,Standard,Magasin,France
V0061,P1772,4,2021-12-24,C958,4396,30,3.045793687531428,Express,En ligne,France
V0062,P349,2,2021-03-03,C824,378,3,3.7653369582351166,Standard,Revendeur,Corée
V0063,P1717,1,2021-01-15,C821,2199,20,2.982262432824461,Express,En ligne,Chine
V0064,P1011,5,2021-12-10,C341,4995,13,2.6117918928778545,Standard,Magasin,Allemagne
V0065,P1181,3,2021-05-10,C164,2997,6,2.482155208016064,Standard,Revendeur,Chine
V0066,P410,2,2021-07-20,C416,3998,18,3.8789261739537673,Express,En ligne,Chine
V0067,P907,3,2021-11-09,C201,6597,14,3.421546125669081,Standard,Revendeur,France
V0068,P485,2,2021-12-19,C301,1298,15,2.0468112944612975,Express,En ligne,France
V0069,P086,2,2021-01-07,C713,798,27,2.987039807397163,Express,En ligne,Corée
V0070,P1721,1,2021-10-23,C841,999,3,2.4313901511732428,Express,Magasin,Chine
V0071,P1211,1,2021-06-13,C891,999,23,1.5528067910257075,Standard,Revendeur,Chine
V0072,P1585,3,2021-06-08,C410,1947,7,2.4916575330301405,Express,En ligne,Allemagne
V0073,P454,2,2021-08-30,C247,398,30,1.8461192297479219,Express,En ligne,France
V0074,P1855,4,2021-11-08,C705,2596,18,3.2495342165064316,Express,Magasin,Allemagne
V0075,P1669,4,2021-12-16,C131,756,14,2.272735486603241,Standard,En ligne,Chine
V0076,P1769,2,2021-10-23,C194,378,16,4.974590496839932,Express,En ligne,France
V0077,P1978,4,2021-03-17,C837,1996,25,2.283668618826938,Standard,Magasin,Chine
V0078,P589,5,2021-01-29,C428,945,5,3.963892052603924,Standard,En ligne,France
V0079,P501,5,2021-09-19,C701,4995,29,3.113551674048478,Standard,Revendeur,Chine
V0080,P613,1,2021-11-10,C416,2999,18,4.032983230021509,Standard,Revendeur,France
V0081,P980,5,2021-06-08,C219,9995,15,1.6825350486149384,Express,Magasin,Allemagne
V0082,P858,4,2021-03-12,C927,1996,28,4.293405111968514,Express,En ligne,France
V0083,P906,2,2021-08-06,C657,798,9,1.3320168050946526,Express,Revendeur,Chine
V0084,P622,1,2021-12-28,C437,1099,11,1.799921505349829,Standard,Revendeur,USA
V0085,P1238,2,2021-07-22,C662,998,14,2.9702086326540567,Express,Magasin,Corée
V0086,P1908,1,2021-01-08,C213,499,5,2.3208829095081955,Standard,Magasin,USA
V0087,P1978,1,2021-10-18,C652,499,21,2.0758944323345223,Express,Revendeur,Allemagne
V0088,P571,2,2021-04-29,C637,1998,11,3.0252464785583912,Express,Revendeur,France
V0089,P991,2,2021-01-18,C896,1998,25,2.6255568355867456,Standard,Magasin,Corée
V0090,P1166,2,2021-03-20,C523,798,3,1.6742917059685434,Standard,Revendeur,Allemagne
V0091,P961,4,2021-01-10,C212,3996,30,1.691815073932775,Standard,Magasin,Allemagne
V0092,P1497,5,2021-11-24,C476,10995,28,1.9785179532689434,Express,En ligne,USA
V0093,P1913,2,2021-01-26,C651,5998,26,2.580699494541254,Standard,En ligne,France
V0094,P013,1,2021-01-04,C399,2999,11,3.856746221225251,Standard,Magasin,France
V0095,P1725,4,2021-10-10,C858,2596,17,1.0798363469638814,Standard,En ligne,Allemagne
V0096,P1993,4,2021-03-23,C493,11996,16,1.700175717076807,Express,En ligne,Chine
V0097,P756,4,2021-07-17,C761,1596,22,1.7492374928818437,Standard,En ligne,Allemagne
V0098,P981,1,2021-11-29,C364,999,10,1.9887477293616094,Standard,Revendeur,Chine
V0099,P586,3,2021-11-24,C605,1197,1,4.143962856016813,Express,Revendeur,Corée
V0100,P993,4,2021-06-27,C877,11996,7,2.8022674367313067,Standard,En ligne,USA
V0101,P390,5,2021-01-20,C838,9995,20,1.3364922184262031,Standard,En ligne,France
V0102,P102,5,2021-08-03,C155,5495,1,4.20783886901979,Express,Revendeur,USA
V0103,P023,5,2021-02-21,C731,14995,17,4.572593747450055,Express,Magasin,France
V0104,P585,3,2021-10-22,C851,1947,3,2.9862126402536693,Express,Revendeur,Allemagne
V0105,P608,2,2021-09-25,C102,998,30,4.30067786273413,Standard,Magasin,France
V0106,P1918,1,2021-11-24,C827,499,1,1.279666273122381,Express,Magasin,USA
V0107,P660,3,2021-03-09,C381,5997,2,4.912458192965056,Express,En ligne,USA
V0108,P730,3,2021-05-21,C873,5997,14,1.1149590890508083,Standard,En ligne,Chine
V0109,P114,4,2021-03-07,C870,796,14,2.0420975929784735,Standard,Revendeur,Chine
V0110,P1132,3,2021-05-02,C817,3297,29,2.9219188181478697,Express,Magasin,Chine
V0111,P553,1,2021-10-07,C721,2999,25,2.2513762222543092,Express,Revendeur,France
V0112,P935,4,2021-05-17,C927,2596,8,4.615908676339242,Standard,En ligne,Chine
V0113,P1128,3,2021-10-30,C976,1497,1,3.6464597646775587,Standard,En ligne,Corée
V0114,P608,5,2021-12-17,C449,2495,21,2.271989838506221,Express,Magasin,France
V0115,P279,4,2021-01-30,C427,756,5,4.926847203958319,Standard,Magasin,France
V0116,P199,3,2021-07-27,C484,567,3,2.0522546665707457,Standard,Magasin,Allemagne
V0117,P1234,3,2021-05-29,C134,597,18,3.113051544613703,Express,Revendeur,Chine
V0118,P472,1,2021-07-31,C869,1099,8,2.179999354303846,Express,Magasin,Chine
V0119,P370,4,2021-06-13,C906,7996,12,4.5633455302663215,Express,En ligne,France
V0120,P1496,2,2021-02-12,C478,798,21,4.902933054063899,Express,En ligne,Chine
V0121,P1843,3,2021-01-01,C435,8997,5,1.1487234262381834,Express,Revendeur,USA
V0122,P201,3,2021-03-18,C762,2997,16,2.438693686084642,Express,Magasin,Allemagne
V0123,P196,2,2021-06-17,C601,798,13,1.195214052317061,Express,En ligne,Corée
V0124,P397,3,2021-03-17,C464,6597,11,1.4163319041172544,Standard,Magasin,Chine
V0125,P1702,2,2021-02-24,C901,2198,19,1.7557927692476905,Standard,En ligne,Corée
V0126,P1314,5,2021-04-13,C763,995,24,2.5550430500620074,Express,En ligne,USA
V0127,P1306,4,2021-06-03,C305,1596,17,3.1881508031853962,Standard,Magasin,USA
V0128,P1083,2,2021-09-27,C368,5998,26,4.718794119101066,Express,Revendeur,France
V0129,P1103,4,2021-04-21,C350,11996,16,4.488104682963099,Express,Revendeur,Corée
V0130,P006,3,2021-09-13,C662,1197,19,1.5131075314987537,Standard,En ligne,Allemagne
V0131,P800,5,2021-08-16,C885,9995,12,2.8998079691098457,Express,Revendeur,France
V0132,P824,2,2021-05-02,C109,398,17,1.4431033934467168,Express,Revendeur,Allemagne
V0133,P1321,1,2021-07-22,C871,999,25,4.796182165085005,Standard,En ligne,Chine
V0134,P897,3,2021-11-11,C920,6597,13,4.137303610014939,Standard,Revendeur,Corée
V0135,P1754,2,2021-12-31,C472,398,15,4.694611784069873,Standard,En ligne,USA
V0136,P1530,1,2021-11-11,C639,1999,5,4.999681856842819,Standard,En ligne,Chine
V0137,P1017,5,2021-01-15,C871,10995,2,4.989960396398397,Standard,Magasin,USA
V0138,P1994,3,2021-11-01,C870,597,22,2.218177266296507,Express,Revendeur,USA
V0139,P1348,4,2021-01-08,C459,1996,11,4.176143971893733,Express,Magasin,Allemagne
V0140,P200,5,2021-05-10,C525,9995,17,3.5876734576754674,Standard,En ligne,Chine
V0141,P1368,4,2021-07-29,C946,1996,7,3.0511376918884334,Standard,En ligne,Corée
V0142,P1685,3,2021-04-19,C111,1947,3,3.809437798727821,Express,Revendeur,Corée
V0143,P504,1,2021-04-14,C493,199,21,4.3185923082171005,Standard,Magasin,Corée
V0144,P138,4,2021-06-28,C756,1996,27,4.830592903446185,Express,Revendeur,USA
V0145,P841,4,2021-05-25,C391,3996,10,1.7370770358048797,Express,En ligne,USA
V0146,P1263,1,2021-11-15,C789,2999,23,1.022492852230453,Express,Magasin,USA
V0147,P360,5,2021-08-03,C793,9995,22,3.7332061533612846,Standard,En ligne,Allemagne
V0148,P1986,5,2021-05-23,C352,1995,13,1.142175431801102,Standard,En ligne,USA
V0149,P567,3,2021-09-02,C240,6597,29,4.482544436747222,Standard,Magasin,Corée
V0150,P1584,2,2021-09-02,C638,398,27,1.0019746219917,Standard,En ligne,Allemagne
V0151,P1212,1,2021-01-19,C168,1099,7,4.522024265897162,Express,En ligne,Corée
V0152,P802,5,2021-12-07,C669,5495,27,4.974260504536952,Standard,Magasin,Corée
V0153,P1933,4,2021-10-12,C926,11996,14,4.7330023094413445,Standard,Revendeur,Corée
V0154,P425,5,2021-12-20,C123,3245,11,3.5821926337318004,Standard,En ligne,USA
V0155,P687,1,2021-04-01,C693,2199,2,1.920741956522372,Express,En ligne,Corée
V0156,P1995,4,2021-09-21,C314,2596,1,2.3207024113693127,Express,Magasin,Allemagne
V0157,P626,1,2021-03-15,C102,399,11,2.118325793714389,Standard,Revendeur,Allemagne
V0158,P328,5,2021-07-04,C366,2495,2,3.036918384518179,Standard,En ligne,Chine
V0159,P521,3,2021-08-09,C592,2997,17,1.3479115539445181,Express,Magasin,USA
V0160,P1507,3,2021-05-14,C859,6597,25,4.727396117320151,Express,Revendeur,Corée
V0161,P1337,3,2021-11-30,C752,6597,11,2.8457626487084156,Express,Magasin,Chine
V0162,P1815,5,2021-06-10,C780,3245,28,4.703327536594266,Standard,Magasin,Allemagne
V0163,P1262,4,2021-08-27,C323,4396,6,2.603716730005158,Standard,Magasin,Corée
V0164,P1110,3,2021-03-21,C455,5997,25,4.7800047818136875,Express,En ligne,Corée
V0165,P1088,3,2021-05-21,C606,1497,13,1.2296976038060081,Standard,Revendeur,Chine
V0166,P1577,3,2021-06-25,C178,6597,22,3.4784658405036253,Standard,Magasin,USA
V0167,P1478,4,2021-08-10,C955,1996,17,4.591101074156953,Express,Revendeur,USA
V0168,P1544,3,2021-09-27,C680,597,12,3.9853031675888606,Express,En ligne,USA
V0169,P1259,1,2021-05-10,C212,189,22,1.3153233110421394,Standard,Revendeur,USA
V0170,P402,2,2021-05-25,C379,2198,4,2.083282120429174,Standard,En ligne,France
V0171,P438,3,2021-08-01,C815,1497,6,2.607434806102037,Standard,En ligne,USA
V0172,P448,4,2021-11-22,C326,1996,30,3.466855032608496,Standard,En ligne,Allemagne
V0173,P1501,1,2021-12-08,C413,999,29,1.7005114151991774,Express,Magasin,Corée
V0174,P486,5,2021-08-08,C369,1995,12,1.6703211227375383,Standard,Revendeur,Allemagne
V0175,P1735,2,2021-02-01,C971,1298,14,4.742483343610324,Express,Magasin,Chine
V0176,P764,4,2021-07-23,C343,796,17,3.270035467759978,Standard,Revendeur,Corée
V0177,P1439,3,2021-06-08,C973,567,21,4.307561942406522,Standard,Revendeur,Allemagne
V0178,P1872,5,2021-07-24,C104,5495,20,4.4461166143442945,Express,Revendeur,USA
V0179,P1413,3,2021-12-02,C908,8997,19,1.876144865674037,Standard,En ligne,France
V0180,P832,1,2021-02-02,C366,1099,25,3.2318578532968503,Express,En ligne,Chine
V0181,P961,2,2021-05-27,C318,1998,22,2.700154999291497,Express,Magasin,USA
V0182,P698,1,2021-07-16,C390,499,2,3.8606892557813963,Standard,Revendeur,France
V0183,P707,3,2021-12-08,C470,6597,20,2.710009727257233,Standard,En ligne,Corée
V0184,P1036,2,2021-11-24,C957,798,17,2.3948847618339184,Standard,Magasin,USA
V0185,P1454,3,2021-09-28,C233,597,13,4.059253139702001,Express,Revendeur,Corée
V0186,P1033,4,2021-12-14,C824,11996,7,2.2234162158204485,Express,Revendeur,Corée
V0187,P133,3,2021-09-20,C625,8997,7,3.7217279322057277,Standard,En ligne,France
V0188,P1021,3,2021-01-12,C370,2997,29,3.28734298723729,Express,En ligne,France
V0189,P320,3,2021-11-01,C438,5997,9,4.190313484352463,Express,Magasin,Allemagne
V0190,P1874,5,2021-07-10,C835,995,1,3.87195673460047,Standard,Revendeur,France
V0191,P603,2,2021-03-30,C327,5998,18,3.9248167188849643,Express,Magasin,Chine
V0192,P437,1,2021-04-16,C972,2199,16,3.298243638158221,Standard,En ligne,USA
V0193,P135,2,2021-01-14,C961,1298,29,3.3568025913441666,Express,Magasin,USA
V0194,P546,3,2021-09-11,C534,1197,13,1.7414125900215636,Express,Revendeur,France
V0195,P1717,1,2021-03-31,C547,2199,2,3.744216237875381,Express,Revendeur,Chine
V0196,P1596,4,2021-07-11,C562,1596,2,4.105569622998647,Standard,En ligne,France
V0197,P706,2,2021-08-22,C850,798,28,3.196198902066345,Express,Magasin,Corée
V0198,P1245,1,2021-09-04,C234,649,11,1.2027128317557372,Standard,Magasin,Allemagne
V0199,P1649,1,2021-09-20,C278,189,12,1.0813392934357262,Express,En ligne,France
V0200,P033,4,2021-10-12,C268,11996,1,1.9131651593687113,Standard,Magasin,USA
V0201,P058,2,2021-02-11,C748,998,12,3.44486893023496,Standard,Magasin,Allemagne
V0202,P254,2,2021-10-16,C774,398,21,1.8706833595427206,Express,En ligne,USA
V0203,P849,2,2021-01-16,C602,378,15,4.547846156218559,Standard,Magasin,Chine
V0204,P1356,5,2021-02-28,C971,1995,24,2.996329047070244,Standard,Magasin,USA
V0205,P1255,1,2021-05-28,C182,649,23,3.3851829116026533,Express,Revendeur,Chine
V0206,P132,1,2021-11-22,C139,1099,16,4.842162441165158,Standard,Magasin,France
V0207,P367,3,2021-09-20,C223,6597,3,2.723848271547172,Standard,Revendeur,Corée
V0208,P1706,1,2021-10-26,C396,399,20,1.3961832803998133,Standard,Revendeur,Allemagne
V0209,P716,3,2021-08-18,C545,1197,8,3.2041627045178114,Standard,En ligne,France
V0210,P995,1,2021-08-13,C634,649,29,3.1241881999586436,Express,En ligne,France
V0211,P1718,5,2021-02-25,C295,2495,13,2.154889291296522,Express,Magasin,France
V0212,P1582,2,2021-01-30,C479,2198,19,4.557171751475497,Standard,Revendeur,Chine
V0213,P938,2,2021-12-25,C208,998,8,1.146369343744999,Standard,Revendeur,Chine
V0214,P1129,2,2021-06-15,C356,378,26,1.330019790771805,Standard,En ligne,USA
V0215,P616,5,2021-08-10,C467,1995,2,3.514172420901571,Express,Magasin,Allemagne
V0216,P857,3,2021-04-01,C376,6597,3,1.743601946223789,Standard,Magasin,Corée
V0217,P1511,4,2021-12-05,C695,3996,21,3.6166201191274356,Standard,Revendeur,Chine
V0218,P720,4,2021-03-07,C359,7996,11,4.775274304266354,Express,En ligne,Chine
V0219,P432,5,2021-09-13,C874,5495,14,3.339799508648353,Express,Magasin,Corée
V0220,P860,4,2021-09-26,C444,7996,4,4.7033660498621295,Standard,En ligne,Corée
V0221,P1881,4,2021-11-22,C797,3996,19,2.752734802587441,Standard,Revendeur,USA
V0222,P1100,4,2021-08-02,C565,7996,9,4.923502052148434,Express,En ligne,Allemagne
V0223,P1538,2,2021-02-13,C775,998,8,3.449762054258628,Express,En ligne,Allemagne
V0224,P591,5,2021-09-15,C988,4995,22,4.262135787277782,Standard,En ligne,Corée
V0225,P075,1,2021-02-05,C923,649,11,4.783729272537495,Standard,En ligne,Allemagne
V0226,P1779,1,2021-08-20,C587,189,10,1.5246033022052954,Standard,En ligne,Allemagne
V0227,P461,5,2021-04-13,C374,4995,9,1.2635651906640208,Express,Revendeur,France
V0228,P391,5,2021-05-18,C456,4995,8,4.116251212932365,Standard,En ligne,Corée
V0229,P105,5,2021-11-05,C669,3245,2,1.939041760327933,Express,En ligne,Allemagne
V0230,P1738,2,2021-01-11,C481,998,5,3.5063195732796664,Standard,En ligne,Allemagne
V0231,P004,3,2021-04-04,C666,597,3,4.605518889695434,Express,Magasin,Chine
V0232,P170,5,2021-01-25,C648,9995,11,3.559537579228951,Standard,En ligne,France
V0233,P686,4,2021-03-11,C188,1596,12,4.783537508892248,Standard,Magasin,Chine
V0234,P1289,1,2021-09-10,C252,189,21,1.7336557787481506,Express,En ligne,Allemagne
V0235,P1077,1,2021-08-09,C646,2199,6,3.1969479682743187,Express,En ligne,Corée
V0236,P1210,3,2021-11-13,C473,5997,24,2.831608719006296,Express,En ligne,Allemagne
V0237,P1212,5,2021-11-07,C717,5495,5,4.022910914471597,Express,Magasin,USA
V0238,P1238,4,2021-01-14,C868,1996,18,3.38880822467712,Standard,Magasin,France
V0239,P1171,2,2021-02-21,C852,1998,18,3.6202603616854834,Express,Revendeur,Allemagne
V0240,P1231,2,2021-02-12,C753,1998,1,4.370152740906324,Express,En ligne,Chine
V0241,P1555,4,2021-01-07,C781,2596,24,1.6054829650256246,Express,Revendeur,Chine
V0242,P1237,3,2021-04-13,C778,6597,15,3.2311764396032734,Standard,En ligne,Allemagne
V0243,P306,4,2021-04-11,C834,1596,23,3.4908649949428976,Standard,En ligne,USA
V0244,P1994,1,2021-12-01,C295,199,5,1.8217556418122522,Express,Magasin,Corée
V0245,P1098,5,2021-12-04,C615,2495,30,2.919708486964228,Standard,Revendeur,Allemagne
V0246,P301,2,2021-03-19,C512,1998,28,4.497758223937496,Express,En ligne,Chine
V0247,P524,2,2021-12-09,C120,398,12,1.9641022650030768,Express,Revendeur,Allemagne
V0248,P115,2,2021-02-12,C845,1298,19,4.028185730414785,Express,Revendeur,Allemagne
V0249,P1231,2,2021-07-11,C393,1998,26,4.382358817140785,Standard,Magasin,Chine
V0250,P1313,3,2021-01-24,C659,8997,1,3.761014872106215,Express,En ligne,France
V0251,P1277,2,2021-04-06,C170,4398,19,4.84515313938512,Standard,Magasin,Chine
V0252,P1371,4,2021-12-02,C927,3996,17,1.494972778683613,Standard,Magasin,France
V0253,P086,5,2021-07-25,C976,1995,13,3.8595484515959164,Standard,En ligne,USA
V0254,P1059,1,2021-08-25,C426,189,10,4.225417514976082,Express,Magasin,Corée
V0255,P689,4,2021-08-06,C489,756,27,3.4676775061678065,Standard,Magasin,USA
V0256,P352,3,2021-07-05,C770,3297,15,4.590139843162408,Express,Magasin,Allemagne
V0257,P732,5,2021-09-25,C389,5495,5,2.709003662179759,Express,En ligne,Corée
V0258,P903,3,2021-06-29,C169,8997,5,3.086958392111633,Standard,Revendeur,Corée
V0259,P1934,5,2021-06-24,C935,995,4,3.0590078509342296,Standard,En ligne,USA
V0260,P775,2,2021-11-17,C491,1298,16,1.3457083852640404,Express,En ligne,USA
V0261,P1160,5,2021-09-14,C255,9995,11,2.611987992142182,Express,Revendeur,France
V0262,P640,2,2021-04-28,C480,3998,28,3.3314292663328233,Express,En ligne,USA
V0263,P997,2,2021-11-02,C161,4398,26,4.874571104470757,Standard,En ligne,Corée
V0264,P1788,4,2021-12-24,C311,1996,26,1.5402486859969624,Standard,En ligne,USA
V0265,P788,1,2021-07-31,C987,499,20,4.750196708663765,Express,Magasin,Chine
V0266,P1110,2,2021-02-03,C252,3998,30,2.730036027462104,Standard,En ligne,Chine
V0267,P636,4,2021-02-15,C921,1596,23,3.7515861046489563,Standard,Revendeur,Allemagne
V0268,P1693,1,2021-05-25,C679,2999,24,1.7447696800532042,Express,En ligne,Chine
V0269,P662,3,2021-09-26,C369,3297,26,4.69493957652959,Standard,En ligne,USA
V0270,P010,4,2021-07-11,C751,7996,10,2.2139282991411977,Express,Magasin,Allemagne
V0271,P469,1,2021-04-03,C901,189,19,4.995153170065075,Express,Magasin,USA
V0272,P1324,2,2021-05-05,C492,398,20,2.1303135683213044,Standard,Magasin,France
V0273,P1211,4,2021-11-22,C472,3996,11,1.1666767240498328,Standard,En ligne,Chine
V0274,P1502,3,2021-06-08,C294,3297,24,3.9179513994140365,Express,Revendeur,USA
V0275,P707,1,2021-09-24,C916,2199,21,4.269984943749163,Standard,Magasin,Allemagne
V0276,P1629,2,2021-01-23,C213,378,1,4.536302519248565,Standard,Magasin,France
V0277,P1097,1,2021-06-29,C515,2199,9,1.6478007887440125,Standard,Magasin,Corée
V0278,P1023,2,2021-01-27,C274,5998,27,3.3435611655275075,Standard,Magasin,USA
V0279,P1290,2,2021-04-12,C241,3998,27,2.225098574589219,Standard,Revendeur,France
V0280,P1363,5,2021-02-02,C290,14995,7,2.898897355910388,Standard,En ligne,Corée
V0281,P143,5,2021-09-01,C891,14995,27,2.7160618618014496,Express,En ligne,USA
V0282,P1083,5,2021-07-05,C760,14995,17,1.7947598637356337,Express,En ligne,Allemagne
V0283,P1294,1,2021-11-15,C947,199,19,3.2740532610723143,Standard,Magasin,USA
V0284,P612,2,2021-02-24,C923,2198,23,3.325919573035843,Standard,Magasin,Allemagne
V0285,P1318,1,2021-06-03,C843,499,16,3.3912141440375754,Express,Magasin,Corée
V0286,P1009,1,2021-08-19,C404,189,27,2.3393791775366606,Standard,Magasin,Allemagne
V0287,P449,5,2021-06-10,C892,945,3,3.68017480390572,Express,Magasin,Corée
V0288,P1385,5,2021-03-16,C862,3245,7,2.4230422868772328,Standard,En ligne,Chine
V0289,P783,3,2021-09-04,C316,8997,24,3.9888457543489286,Standard,Magasin,Allemagne
V0290,P936,5,2021-06-10,C536,1995,18,2.908780357660773,Standard,En ligne,Corée
V0291,P1786,4,2021-03-04,C877,1596,8,2.0564698522175986,Standard,Revendeur,France
V0292,P101,2,2021-04-17,C288,1998,6,3.0376906554722205,Standard,Revendeur,USA
V0293,P524,1,2021-01-03,C887,199,24,2.258853898228277,Standard,Revendeur,Allemagne
V0294,P263,4,2021-10-08,C741,11996,17,1.6552225762319153,Express,Magasin,France
V0295,P1708,3,2021-11-15,C458,1497,17,2.708542978895312,Standard,Revendeur,Corée
V0296,P433,3,2021-12-14,C556,8997,20,2.6559858360443767,Express,Revendeur,USA
V0297,P764,2,2021-03-17,C486,398,23,4.875176152164618,Express,En ligne,Allemagne
V0298,P852,4,2021-04-01,C213,4396,15,1.4845159060394395,Standard,Magasin,USA
V0299,P1429,3,2021-03-22,C881,567,13,4.961623834523615,Express,Magasin,Corée
V0300,P1848,4,2021-03-11,C705,1996,9,4.8543227395218125,Express,Revendeur,Corée
V0301,P592,1,2021-10-24,C347,1099,6,2.403748910534963,Standard,Revendeur,Chine
V0302,P072,5,2021-04-10,C649,5495,29,4.668514752789878,Standard,Magasin,Chine
V0303,P1912,3,2021-06-28,C828,3297,8,3.8397151491719512,Standard,Revendeur,Chine
V0304,P165,4,2021-08-18,C374,2596,1,3.495426767844664,Express,En ligne,France
